|,id,name,rating,ratings,vicinity,geometry__location__lat,geometry__location__lng,geometry__viewport,geometry__viewport__lat,geometry__viewport__lng,website,address,city,zipcode_area,types__001,types__002,types__003,types__004,types__005,types__006,types__007,types__008,types__009
ChIJ95pHdoDIwoARKiNc7RBmCUE,ChIJ95pHdoDIwoARKiNc7RBmCUE,Grupo Ya Estamos Aqui,,,United States,34.0229531,-118.252561,northeast,34.02432263,-118.251124,,,United States,90240,,,,,,,,,
ChIJN45b07TJwoAR_BDeSsLyDpw,ChIJN45b07TJwoAR_BDeSsLyDpw,J Cruz Services,,,"2115 South Central Avenue, Los Angeles",34.0225325,-118.2526028,northeast,34.02382428,-118.2511637,,2115 South Central Avenue, Los Angeles,90240,,,,,,,,,
ChIJ6TeMCHLJwoARz5M7hQ7FjHk,ChIJ6TeMCHLJwoARz5M7hQ7FjHk,Oportun,4.5,6,"2020 South Central Avenue, Los Angeles",34.0230047,-118.2516032,northeast,34.02432638,-118.2502053,https://oportun.com/locations/los-angeles-90011-530/?utm_source=google&utm_medium=organic&utm_campaign=mybusiness&utm_content=530-los-angeles-CA-90011,2020 South Central Avenue, Los Angeles,90240,finance,,,,,,,,
ChIJ8Y9wvsrJwoARJ1S1grmpzyI,ChIJ8Y9wvsrJwoARJ1S1grmpzyI,The Los Angeles Bail Bond Firm,,,"2010 South Central Avenue, Los Angeles",34.0230009,-118.2515738,northeast,34.02432883,-118.2501871,,2010 South Central Avenue, Los Angeles,90240,,,,,,,,,
ChIJ1b7hZYDIwoARJnTEroEDqcQ,ChIJ1b7hZYDIwoARJnTEroEDqcQ,China Chef's Express Chinese Food,4,67,"2020 South Central Avenue, Los Angeles",34.0230047,-118.2515724,northeast,34.02433228,-118.2501851,,2020 South Central Avenue, Los Angeles,90240,restaurant,food,,,,,,,
ChIJb8nhZYDIwoARCjsg5E6jwbY,ChIJb8nhZYDIwoARCjsg5E6jwbY,Chinese Fast Food,4.5,38,"2040 South Central Avenue, Los Angeles",34.0230028,-118.2515707,northeast,34.02433103,-118.2501845,,2040 South Central Avenue, Los Angeles,90240,restaurant,food,,,,,,,
ChIJ7c8gfoDIwoARIScssAIUdPM,ChIJ7c8gfoDIwoARIScssAIUdPM,Ramos L A Beauty Salon,4.9,36,"2102 South Central Avenue, Los Angeles",34.0222218,-118.2523901,northeast,34.02361398,-118.2511085,,2102 South Central Avenue, Los Angeles,90240,hair_care,health,,,,,,,
ChIJpym0G3HJwoAR699k_KURDYc,ChIJpym0G3HJwoAR699k_KURDYc,Johns Down Town Los Angeles Tows,5,11,"1315 East 21st Street Unit 313, Los Angeles",34.0222769,-118.2517554,northeast,34.02354308,-118.2504709,,1315 East 21st Street Unit 313, Los Angeles,90240,,,,,,,,,
ChIJQ6BH1H_IwoAR6HtrR6rTGuA,ChIJQ6BH1H_IwoAR6HtrR6rTGuA,Xpert Electric,,,"2133 South Central Avenue, Los Angeles",34.0222705,-118.2527765,northeast,34.02365408,-118.2514448,,2133 South Central Avenue, Los Angeles,90240,electrician,,,,,,,,
ChIJGfhIxoDIwoARNUcdc81J9uw,ChIJGfhIxoDIwoARNUcdc81J9uw,Central Park Recreation Center,4.3,107,"1357 East 22nd Street, Los Angeles",34.0207667,-118.2511056,northeast,34.02201223,-118.2498016,http://www.laparks.org/,1357 East 22nd Street, Los Angeles,90240,,,,,,,,,
